"","Edad","IdSexo","IdNivelEducativo","IdTipoDeEmpresa","IdProvincia","IdPuesto","MesesDeExperiencia","IdTecnologiaPrincipal","CargaLaboral","SalarioNetoPorHora"
"24160",25,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",0,"Android","Part Time",406.25
"24161",41,"Femenino","Universitario completo","Una empresa privada","Córdoba","Administrador de Almacenamiento (Storage)",96,".Net","Full Time",418.604651162791
"24163",23,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",36,"Javascsript","Full Time",237.777777777778
"24164",40,"Masculino","Terciario en curso o incompleto","Un organismo estatal","Capital Federal","Scrum Master",144,"Java","Full Time",560.25
"24165",33,"Masculino","Universitario en curso o incompleto","Un organismo estatal","Capital Federal","Implementador de Sistemas",0,"Mainframe","Full Time",564.473684210526
"24166",28,"Masculino","Universitario en curso o incompleto","Una empresa privada","Costa Atlántica","Tester Funcional",60,"Java","Full Time",375
"24167",34,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",0,".Net","Full Time",487.5
"24168",44,"Masculino","Universitario en curso o incompleto","Una empresa privada","Córdoba","Analista Funcional",96,"Visual FoxPro","Extra Time",320
"24169",26,"Masculino","Terciario en curso o incompleto","Una empresa privada","Capital Federal","Tester Funcional",0,"Java","Full Time",244.444444444444
"24171",29,"Masculino","Secundario completo","Una empresa privada","Capital Federal","Soporte Técnico",36,"Windows","Full Time",290.933333333333
"24174",38,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Analista de Procesos",12,"SAP","Full Time",500
"24175",41,"Masculino","Universitario completo","Una empresa privada","San Luis","Jefe de Desarrollo",144,"Oracle","Full Time",1312.5
"24177",44,"Masculino","Universitario en curso o incompleto","Una empresa privada","GBA Zona Norte","Desarrollador de software / Programador",144,"Oracle","Full Time",585
"24178",28,"Masculino","Secundario completo","Otro","GBA Zona Norte","Supervisor de Infraestructura",36,"Windows","Full Time",260
